Date(UTC),Latitude,Longitude,Depth,Magnitude
27-08-2000 00:00,38,37.3,10,4.4
28-08-2000 00:00,41.5,26.5,20,4.5
29-08-2000 00:00,40.83,42.07,10,4
30-08-2000 00:00,42.3,43,10,4.7
31-08-2000 00:00,38,26.5,60,6
01-09-2000 00:00,40.2,37.8,10,6.4
02-09-2000 00:00,40.17,37.76,10,5.8
03-09-2000 00:00,40.17,37.76,10,5.6
04-09-2000 00:00,42.1,26.5,30,4.8
05-09-2000 00:00,38.6,27.05,10,4.8
06-09-2000 00:00,41.8,27,10,4.4
07-09-2000 00:00,40.15,38,10,4.8
08-09-2000 00:00,40.21,37.58,10,5.7
09-09-2000 00:00,39.37,40.65,10,5
10-09-2000 00:00,38.85,38.85,10,4.4
11-09-2000 00:00,40.15,37.8,10,4.4
12-09-2000 00:00,36,45,10,5.6
13-09-2000 00:00,41.2,44,10,4.1
14-09-2000 00:00,40.5,26.15,10,5.1
15-09-2000 00:00,41,28.2,10,4.7
16-09-2000 00:00,37.06,35.71,10,4.1
17-09-2000 00:00,38,27,20,5.3
18-09-2000 00:00,40.26,29.64,10,5.8
19-09-2000 00:00,38.7,41.91,10,4.5
20-09-2000 00:00,40.3,41.4,10,4.5
21-09-2000 00:00,38.35,40,10,4.4
22-09-2000 00:00,40.1,41.25,10,4.5
23-09-2000 00:00,38.77,27.17,10,4.1
24-09-2000 00:00,40.15,44.55,10,4
25-09-2000 00:00,40.8,44.5,10,4.9
26-09-2000 00:00,40.9,34.6,10,5.2
27-09-2000 00:00,40.88,34.56,10,6.1
28-09-2000 00:00,38.86,27.84,10,4.4
29-09-2000 00:00,38.88,27.87,10,4.9
30-09-2000 00:00,40.4,36.9,10,5.1
01-10-2000 00:00,40.7,34.5,10,4.7
02-10-2000 00:00,37.66,30.01,10,5.3
03-10-2000 00:00,37.8,28.7,30,5.3
04-10-2000 00:00,38.6,40.03,10,5
05-10-2000 00:00,38.6,40.03,10,4.7
06-10-2000 00:00,39.96,41.48,10,4.2
07-10-2000 00:00,38.6,40.03,10,4.2
08-10-2000 00:00,36.32,36.62,10,4.4
09-10-2000 00:00,40,41.5,10,4.2
10-10-2000 00:00,39.2,39.62,10,4.2
