Name;Station;Time(norwegian mean time);Precipitation (24 h)
Bjørnøya;SN99710;15.12.1980;0
Bjørnøya;SN99710;16.12.1980;0
Bjørnøya;SN99710;17.12.1980;0
Bjørnøya;SN99710;18.12.1980;0.5
Bjørnøya;SN99710;19.12.1980;1.6
Bjørnøya;SN99710;20.12.1980;1.1
Bjørnøya;SN99710;21.12.1980;1.3
Bjørnøya;SN99710;22.12.1980;0
Bjørnøya;SN99710;23.12.1980;0.2
Bjørnøya;SN99710;24.12.1980;0.2
Bjørnøya;SN99710;25.12.1980;0
Bjørnøya;SN99710;26.12.1980;0
Bjørnøya;SN99710;27.12.1980;0.5
Bjørnøya;SN99710;28.12.1980;1.4
Bjørnøya;SN99710;29.12.1980;0.2
Bjørnøya;SN99710;30.12.1980;1.4
Bjørnøya;SN99710;31.12.1980;0.7
Bjørnøya;SN99710;01.01.1981;1.9
Bjørnøya;SN99710;02.01.1981;1.5
Bjørnøya;SN99710;03.01.1981;0.4
Bjørnøya;SN99710;04.01.1981;0
Bjørnøya;SN99710;05.01.1981;0
Bjørnøya;SN99710;06.01.1981;0
Bjørnøya;SN99710;07.01.1981;0.4
Bjørnøya;SN99710;08.01.1981;0.8
Bjørnøya;SN99710;09.01.1981;3
Bjørnøya;SN99710;10.01.1981;2.8
Bjørnøya;SN99710;11.01.1981;0
Bjørnøya;SN99710;12.01.1981;6.9
Bjørnøya;SN99710;13.01.1981;2.4
Bjørnøya;SN99710;14.01.1981;0
Bjørnøya;SN99710;15.01.1981;0.6
Bjørnøya;SN99710;16.01.1981;1
Bjørnøya;SN99710;17.01.1981;0
Bjørnøya;SN99710;18.01.1981;0.5
Bjørnøya;SN99710;19.01.1981;1.7
Bjørnøya;SN99710;20.01.1981;0.3
Bjørnøya;SN99710;21.01.1981;0.8
Bjørnøya;SN99710;22.01.1981;0.7
Bjørnøya;SN99710;23.01.1981;1.1
Bjørnøya;SN99710;24.01.1981;2.4
Bjørnøya;SN99710;25.01.1981;0
Bjørnøya;SN99710;26.01.1981;0.4
Bjørnøya;SN99710;27.01.1981;1.2
Bjørnøya;SN99710;28.01.1981;0.8
Bjørnøya;SN99710;29.01.1981;0.1
Bjørnøya;SN99710;30.01.1981;0.2
Bjørnøya;SN99710;31.01.1981;1.2
Bjørnøya;SN99710;01.02.1981;7.5
Bjørnøya;SN99710;02.02.1981;8.1
Bjørnøya;SN99710;03.02.1981;1
Bjørnøya;SN99710;04.02.1981;0.3
Bjørnøya;SN99710;05.02.1981;0
Bjørnøya;SN99710;06.02.1981;1
Bjørnøya;SN99710;07.02.1981;1
Bjørnøya;SN99710;08.02.1981;2
Bjørnøya;SN99710;09.02.1981;0.3
Bjørnøya;SN99710;10.02.1981;0.6
Bjørnøya;SN99710;11.02.1981;0.3
Bjørnøya;SN99710;12.02.1981;0.4
Bjørnøya;SN99710;13.02.1981;0.1
Bjørnøya;SN99710;14.02.1981;0.1
Bjørnøya;SN99710;15.02.1981;0.1
Bjørnøya;SN99710;16.02.1981;1.4
Bjørnøya;SN99710;17.02.1981;1.5
Bjørnøya;SN99710;18.02.1981;3.9
Bjørnøya;SN99710;19.02.1981;2.4
Bjørnøya;SN99710;20.02.1981;1.2
Bjørnøya;SN99710;21.02.1981;3.7
Bjørnøya;SN99710;22.02.1981;3.4
Bjørnøya;SN99710;23.02.1981;3.2
Bjørnøya;SN99710;24.02.1981;1.2
Bjørnøya;SN99710;25.02.1981;2.1
Bjørnøya;SN99710;26.02.1981;0.2
Bjørnøya;SN99710;27.02.1981;9.9
Bjørnøya;SN99710;28.02.1981;1.9
Bjørnøya;SN99710;01.03.1981;7
Bjørnøya;SN99710;02.03.1981;0.4
Bjørnøya;SN99710;03.03.1981;0.3
Bjørnøya;SN99710;04.03.1981;0.1
Bjørnøya;SN99710;05.03.1981;0
Bjørnøya;SN99710;06.03.1981;1.7
Bjørnøya;SN99710;07.03.1981;0.6
Bjørnøya;SN99710;08.03.1981;0.5
Bjørnøya;SN99710;09.03.1981;1.5
Bjørnøya;SN99710;10.03.1981;13
Bjørnøya;SN99710;11.03.1981;1.7
Bjørnøya;SN99710;12.03.1981;0.1
Bjørnøya;SN99710;13.03.1981;0.2
Bjørnøya;SN99710;14.03.1981;0
Bjørnøya;SN99710;15.03.1981;1.1
Bjørnøya;SN99710;16.03.1981;0.1
Bjørnøya;SN99710;17.03.1981;0.6
Bjørnøya;SN99710;18.03.1981;0
Bjørnøya;SN99710;19.03.1981;0
Bjørnøya;SN99710;20.03.1981;0
Bjørnøya;SN99710;21.03.1981;0.4
Bjørnøya;SN99710;22.03.1981;0.7
Bjørnøya;SN99710;23.03.1981;0.5
Bjørnøya;SN99710;24.03.1981;1.6
Bjørnøya;SN99710;25.03.1981;0
Bjørnøya;SN99710;26.03.1981;0.1
Bjørnøya;SN99710;27.03.1981;0
Bjørnøya;SN99710;28.03.1981;0
Bjørnøya;SN99710;29.03.1981;0.2
Bjørnøya;SN99710;30.03.1981;4.2
Bjørnøya;SN99710;31.03.1981;0
Bjørnøya;SN99710;01.04.1981;0.1
Bjørnøya;SN99710;02.04.1981;1.3
Bjørnøya;SN99710;03.04.1981;3.5
Bjørnøya;SN99710;04.04.1981;0.5
Bjørnøya;SN99710;05.04.1981;2.6
Bjørnøya;SN99710;06.04.1981;0.1
Bjørnøya;SN99710;07.04.1981;0.2
Bjørnøya;SN99710;08.04.1981;0
Bjørnøya;SN99710;09.04.1981;0
Bjørnøya;SN99710;10.04.1981;3.4
Bjørnøya;SN99710;11.04.1981;3.2
Bjørnøya;SN99710;12.04.1981;0
Bjørnøya;SN99710;13.04.1981;0.3
Bjørnøya;SN99710;14.04.1981;2.4
Bjørnøya;SN99710;15.04.1981;0
Bjørnøya;SN99710;16.04.1981;0.2
Bjørnøya;SN99710;17.04.1981;3.6
Bjørnøya;SN99710;18.04.1981;4.5
Bjørnøya;SN99710;19.04.1981;0
Bjørnøya;SN99710;20.04.1981;0.7
Bjørnøya;SN99710;21.04.1981;0
Bjørnøya;SN99710;22.04.1981;0
Bjørnøya;SN99710;23.04.1981;0
Bjørnøya;SN99710;24.04.1981;0
Bjørnøya;SN99710;25.04.1981;0
Bjørnøya;SN99710;26.04.1981;0.1
Bjørnøya;SN99710;27.04.1981;0
Bjørnøya;SN99710;28.04.1981;0
Bjørnøya;SN99710;29.04.1981;0
Bjørnøya;SN99710;30.04.1981;0
Bjørnøya;SN99710;01.05.1981;0
Bjørnøya;SN99710;02.05.1981;0
Bjørnøya;SN99710;03.05.1981;0.1
Bjørnøya;SN99710;04.05.1981;0.1
Bjørnøya;SN99710;05.05.1981;0
Bjørnøya;SN99710;06.05.1981;0
Bjørnøya;SN99710;07.05.1981;0.5
Bjørnøya;SN99710;08.05.1981;0.7
Bjørnøya;SN99710;09.05.1981;1.1
Bjørnøya;SN99710;10.05.1981;0.3
Bjørnøya;SN99710;11.05.1981;0.1
Bjørnøya;SN99710;12.05.1981;0
Bjørnøya;SN99710;13.05.1981;0
Bjørnøya;SN99710;14.05.1981;0
Bjørnøya;SN99710;15.05.1981;0
Bjørnøya;SN99710;16.05.1981;0.1
Bjørnøya;SN99710;17.05.1981;0.4
Bjørnøya;SN99710;18.05.1981;0
Bjørnøya;SN99710;19.05.1981;0
Bjørnøya;SN99710;20.05.1981;0
Bjørnøya;SN99710;21.05.1981;0.5
Bjørnøya;SN99710;22.05.1981;0.7
Bjørnøya;SN99710;23.05.1981;0.2
Bjørnøya;SN99710;24.05.1981;0
Bjørnøya;SN99710;25.05.1981;0
Bjørnøya;SN99710;26.05.1981;0
